EX_ac_e,ACKr,ACS
EX_ac_e,ACS,PTAr
EX_co2_e,EX_fe2_e,EX_h_e
EX_co2_e,EX_fe3_e,EX_h_e
EX_co2_e,EX_h_e,EX_o2_e
EX_co2_e,EX_h_e,FE2tex
EX_co2_e,EX_h_e,FE3tex
EX_co2_e,EX_h_e,FEROpp
EX_co2_e,EX_h_e,O2tex
EX_cytd_e,CYTD,CYTK1
EX_fe2_e,EX_h_e,CO2tex
EX_fe3_e,EX_h_e,CO2tex
EX_fe3_e,FEROpp,FESD1s
EX_fe3_e,FEROpp,FESR
EX_fe3_e,FEROpp,O2tpp
EX_glyc_e,EX_h_e,EX_h2o_e
EX_glyc_e,EX_h_e,H2Otex
EX_h_e,EX_h2o_e,GLYCtex
EX_h_e,EX_o2_e,CO2tex
EX_h_e,EX_o2_e,CO2tpp
EX_h_e,EX_o2_e,PDH
EX_h_e,CO2tex,FE2tex
EX_h_e,CO2tex,FE3tex
EX_h_e,CO2tex,FEROpp
EX_h_e,CO2tex,O2tex
EX_h_e,CO2tpp,O2tex
EX_h_e,GLYCtex,H2Otex
EX_h_e,O2tex,PDH
EX_o2_e,EX_ppal_e,EX_succ_e
EX_o2_e,EX_ppal_e,SUCCtex
EX_o2_e,EX_succ_e,MMCD
EX_o2_e,EX_succ_e,MMM
EX_o2_e,EX_succ_e,PPALtex
EX_o2_e,EX_succ_e,PPALtpp
EX_o2_e,EX_succ_e,MMSAD2
EX_o2_e,DHBS,FE3abcpp
EX_o2_e,DHBS,FE3tex
EX_o2_e,DHBSH,FE3abcpp
EX_o2_e,DHBSH,FE3tex
EX_o2_e,DHORD5,DHORDfum
EX_o2_e,DHORDfum,FRD2
EX_o2_e,ENTCS,FE3abcpp
EX_o2_e,ENTCS,FE3tex
EX_o2_e,ENTERES2,FE3abcpp
EX_o2_e,ENTERES2,FE3tex
EX_o2_e,FE3abcpp,FEENTERabcpp
EX_o2_e,FE3abcpp,FEENTERexs
EX_o2_e,FE3abcpp,FEENTERtex
EX_o2_e,FE3abcpp,FEENTERtonex
EX_o2_e,FE3abcpp,FEENTERtpp
EX_o2_e,FE3abcpp,SERASr
EX_o2_e,FE3tex,FEENTERabcpp
EX_o2_e,FE3tex,FEENTERexs
EX_o2_e,FE3tex,FEENTERtex
EX_o2_e,FE3tex,FEENTERtonex
EX_o2_e,FE3tex,FEENTERtpp
EX_o2_e,FE3tex,SERASr
EX_o2_e,G6PDH2r,RPE
EX_o2_e,G6PDH2r,TKT2
EX_o2_e,MMCD,SUCCtex
EX_o2_e,MMM,SUCCtex
EX_o2_e,MOX,PDX5PO2
EX_o2_e,PGL,RPE
EX_o2_e,PGL,TKT2
EX_o2_e,PPALtex,SUCCtex
EX_o2_e,PPALtpp,SUCCtex
EX_o2_e,SUCCtex,MMSAD2
EX_ppal_e,EX_succ_e,FUM
EX_ppal_e,EX_succ_e,O2tex
EX_ppal_e,EX_succ_e,O2tpp
EX_ppal_e,FUM,SUCCtex
EX_ppal_e,MTHFC,PFL
EX_ppal_e,MTHFD,PFL
EX_ppal_e,O2tex,SUCCtex
EX_ppal_e,O2tpp,SUCCtex
EX_succ_e,FUM,MMCD
EX_succ_e,FUM,MMM
EX_succ_e,FUM,PPALtex
EX_succ_e,FUM,PPALtpp
EX_succ_e,FUM,MMSAD2
EX_succ_e,MMCD,O2tex
EX_succ_e,MMCD,O2tpp
EX_succ_e,MMM,O2tex
EX_succ_e,MMM,O2tpp
EX_succ_e,O2tex,PPALtex
EX_succ_e,O2tex,PPALtpp
EX_succ_e,O2tex,MMSAD2
EX_succ_e,O2tpp,PPALtex
EX_succ_e,O2tpp,PPALtpp
EX_succ_e,O2tpp,MMSAD2
3HAD100,3HAD120,ACACT5r
3HAD100,3HAD120,ACOAD5f
3HAD100,3HAD120,ECOAH5
3HAD100,3HAD120,HACD5
3HAD100,3HAD140,ACACT6r
3HAD100,3HAD140,ECOAH6
3HAD100,3HAD140,HACD6
3HAD100,3OAR120,ACACT5r
3HAD100,3OAR120,ACOAD5f
3HAD100,3OAR120,ECOAH5
3HAD100,3OAR120,HACD5
3HAD100,3OAS120,ACACT5r
3HAD100,3OAS120,ACOAD5f
3HAD100,3OAS120,ECOAH5
3HAD100,3OAS120,HACD5
3HAD100,AACPS2,AACPS4
3HAD100,AACPS2,CTECOAI7_copy1
3HAD100,AACPS2,FACOAE161
3HAD100,AACPS4,CTECOAI6_copy1
3HAD100,AACPS4,FACOAE141
3HAD100,AACPS7,AACPS8
3HAD100,AACPS7,FACOAE100
3HAD100,AACPS8,ACACT5r
3HAD100,AACPS8,ACOAD5f
3HAD100,AACPS8,ECOAH5
3HAD100,AACPS8,FACOAE120
3HAD100,AACPS8,HACD5
3HAD100,ACACT5r,FACOAE100
3HAD100,ACOAD5f,FACOAE100
3HAD100,CTECOAI6_copy1,CTECOAI7_copy1
3HAD100,CTECOAI6_copy1,FACOAE161
3HAD100,CTECOAI7_copy1,FACOAE141
3HAD100,ECOAH5,FACOAE100
3HAD100,FACOAE100,FACOAE120
3HAD100,FACOAE100,HACD5
3HAD100,FACOAE141,FACOAE161
3HAD120,3HAD121,ACACT1r
3HAD120,3HAD121,ACACT2r
3HAD120,3HAD121,ACACT3r
3HAD120,3HAD121,ACACT4r
3HAD120,3HAD121,ACACT5r
3HAD120,3HAD121,ACOAD1f
3HAD120,3HAD121,ACOAD2f
3HAD120,3HAD121,ACOAD3f
3HAD120,3HAD121,ACOAD4f
3HAD120,3HAD121,ACOAD5f
3HAD120,3HAD121,ECOAH1
3HAD120,3HAD121,ECOAH2
3HAD120,3HAD121,ECOAH3
3HAD120,3HAD121,ECOAH4
3HAD120,3HAD121,ECOAH5
3HAD120,3HAD121,HACD1
3HAD120,3HAD121,HACD2
3HAD120,3HAD121,HACD3
3HAD120,3HAD121,HACD4
3HAD120,3HAD121,HACD5
3HAD120,3HAD141,ACACT1r
3HAD120,3HAD141,ACACT2r
3HAD120,3HAD141,ACACT3r
3HAD120,3HAD141,ACACT4r
3HAD120,3HAD141,ACACT5r
3HAD120,3HAD141,ACOAD1f
3HAD120,3HAD141,ACOAD2f
3HAD120,3HAD141,ACOAD3f
3HAD120,3HAD141,ACOAD4f
3HAD120,3HAD141,ACOAD5f
3HAD120,3HAD141,ECOAH1
3HAD120,3HAD141,ECOAH2
3HAD120,3HAD141,ECOAH3
3HAD120,3HAD141,ECOAH4
3HAD120,3HAD141,ECOAH5
3HAD120,3HAD141,HACD1
3HAD120,3HAD141,HACD2
3HAD120,3HAD141,HACD3
3HAD120,3HAD141,HACD4
3HAD120,3HAD141,HACD5
3HAD120,3OAR100,ACACT5r
3HAD120,3OAR100,ACOAD5f
3HAD120,3OAR100,ECOAH5
3HAD120,3OAR100,HACD5
3HAD120,3OAR121,ACACT1r
3HAD120,3OAR121,ACACT2r
3HAD120,3OAR121,ACACT3r
3HAD120,3OAR121,ACACT4r
3HAD120,3OAR121,ACACT5r
3HAD120,3OAR121,ACOAD1f
3HAD120,3OAR121,ACOAD2f
3HAD120,3OAR121,ACOAD3f
3HAD120,3OAR121,ACOAD4f
3HAD120,3OAR121,ACOAD5f
3HAD120,3OAR121,ECOAH1
3HAD120,3OAR121,ECOAH2
3HAD120,3OAR121,ECOAH3
3HAD120,3OAR121,ECOAH4
3HAD120,3OAR121,ECOAH5
3HAD120,3OAR121,HACD1
3HAD120,3OAR121,HACD2
3HAD120,3OAR121,HACD3
3HAD120,3OAR121,HACD4
3HAD120,3OAR121,HACD5
3HAD120,3OAR141,ACACT1r
3HAD120,3OAR141,ACACT2r
3HAD120,3OAR141,ACACT3r
3HAD120,3OAR141,ACACT4r
3HAD120,3OAR141,ACACT5r
3HAD120,3OAR141,ACOAD1f
3HAD120,3OAR141,ACOAD2f
3HAD120,3OAR141,ACOAD3f
3HAD120,3OAR141,ACOAD4f
3HAD120,3OAR141,ACOAD5f
3HAD120,3OAR141,ECOAH1
3HAD120,3OAR141,ECOAH2
3HAD120,3OAR141,ECOAH3
3HAD120,3OAR141,ECOAH4
3HAD120,3OAR141,ECOAH5
3HAD120,3OAR141,HACD1
3HAD120,3OAR141,HACD2
3HAD120,3OAR141,HACD3
3HAD120,3OAR141,HACD4
3HAD120,3OAR141,HACD5
3HAD120,3OAS100,ACACT5r
3HAD120,3OAS100,ACOAD5f
3HAD120,3OAS100,ECOAH5
3HAD120,3OAS100,HACD5
3HAD120,3OAS121,ACACT1r
3HAD120,3OAS121,ACACT2r
3HAD120,3OAS121,ACACT3r
3HAD120,3OAS121,ACACT4r
3HAD120,3OAS121,ACACT5r
3HAD120,3OAS121,ACOAD1f
3HAD120,3OAS121,ACOAD2f
3HAD120,3OAS121,ACOAD3f
3HAD120,3OAS121,ACOAD4f
3HAD120,3OAS121,ACOAD5f
3HAD120,3OAS121,ECOAH1
3HAD120,3OAS121,ECOAH2
3HAD120,3OAS121,ECOAH3
3HAD120,3OAS121,ECOAH4
3HAD120,3OAS121,ECOAH5
3HAD120,3OAS121,HACD1
3HAD120,3OAS121,HACD2
3HAD120,3OAS121,HACD3
3HAD120,3OAS121,HACD4
3HAD120,3OAS121,HACD5
3HAD120,3OAS141,ACACT1r
3HAD120,3OAS141,ACACT2r
3HAD120,3OAS141,ACACT3r
3HAD120,3OAS141,ACACT4r
3HAD120,3OAS141,ACACT5r
3HAD120,3OAS141,ACOAD1f
3HAD120,3OAS141,ACOAD2f
3HAD120,3OAS141,ACOAD3f
3HAD120,3OAS141,ACOAD4f
3HAD120,3OAS141,ACOAD5f
3HAD120,3OAS141,ECOAH1
3HAD120,3OAS141,ECOAH2
3HAD120,3OAS141,ECOAH3
3HAD120,3OAS141,ECOAH4
3HAD120,3OAS141,ECOAH5
3HAD120,3OAS141,HACD1
3HAD120,3OAS141,HACD2
3HAD120,3OAS141,HACD3
3HAD120,3OAS141,HACD4
3HAD120,3OAS141,HACD5
3HAD120,ACACT1r,ACACT6r
3HAD120,ACACT1r,ECOAH6
3HAD120,ACACT1r,T2DECAI
3HAD120,ACACT2r,ACACT6r
3HAD120,ACACT2r,ECOAH6
3HAD120,ACACT2r,T2DECAI
3HAD120,ACACT3r,ACACT6r
3HAD120,ACACT3r,ECOAH6
3HAD120,ACACT3r,T2DECAI
3HAD120,ACACT4r,ACACT6r
3HAD120,ACACT4r,ECOAH6
3HAD120,ACACT4r,T2DECAI
3HAD120,ACACT5r,ACACT6r
3HAD120,ACACT5r,ECOAH6
3HAD120,ACACT5r,T2DECAI
3HAD120,ACACT6r,ACOAD1f
3HAD120,ACACT6r,ACOAD2f
3HAD120,ACACT6r,ACOAD3f
3HAD120,ACACT6r,ACOAD4f
3HAD120,ACACT6r,ACOAD5f
3HAD120,ACACT6r,ECOAH1
3HAD120,ACACT6r,ECOAH2
3HAD120,ACACT6r,ECOAH3
3HAD120,ACACT6r,ECOAH4
3HAD120,ACACT6r,ECOAH5
3HAD120,ACACT6r,HACD1
3HAD120,ACACT6r,HACD2
3HAD120,ACACT6r,HACD3
3HAD120,ACACT6r,HACD4
3HAD120,ACACT6r,HACD5
3HAD120,ACOAD1f,ECOAH6
3HAD120,ACOAD1f,T2DECAI
3HAD120,ACOAD2f,ECOAH6
3HAD120,ACOAD2f,T2DECAI
3HAD120,ACOAD3f,ECOAH6
3HAD120,ACOAD3f,T2DECAI
3HAD120,ACOAD4f,ECOAH6
3HAD120,ACOAD4f,T2DECAI
3HAD120,ACOAD5f,ECOAH6
3HAD120,ACOAD5f,T2DECAI
3HAD120,ECOAH1,ECOAH6
3HAD120,ECOAH1,T2DECAI
3HAD120,ECOAH2,ECOAH6
3HAD120,ECOAH2,T2DECAI
3HAD120,ECOAH3,ECOAH6
3HAD120,ECOAH3,T2DECAI
3HAD120,ECOAH4,ECOAH6
3HAD120,ECOAH4,T2DECAI
3HAD120,ECOAH5,ECOAH6
3HAD120,ECOAH5,T2DECAI
3HAD120,ECOAH6,HACD1
3HAD120,ECOAH6,HACD2
3HAD120,ECOAH6,HACD3
3HAD120,ECOAH6,HACD4
3HAD120,ECOAH6,HACD5
3HAD120,HACD1,T2DECAI
3HAD120,HACD2,T2DECAI
3HAD120,HACD3,T2DECAI
3HAD120,HACD4,T2DECAI
3HAD120,HACD5,T2DECAI
3HAD121,3HAD140,ACACT6r
3HAD121,3HAD140,ECOAH6
3HAD121,3HAD140,HACD6
3HAD121,3OAR120,ACACT1r
3HAD121,3OAR120,ACACT2r
3HAD121,3OAR120,ACACT3r
3HAD121,3OAR120,ACACT4r
3HAD121,3OAR120,ACACT5r
3HAD121,3OAR120,ACOAD1f
3HAD121,3OAR120,ACOAD2f
3HAD121,3OAR120,ACOAD3f
3HAD121,3OAR120,ACOAD4f
3HAD121,3OAR120,ACOAD5f
3HAD121,3OAR120,ECOAH1
3HAD121,3OAR120,ECOAH2
3HAD121,3OAR120,ECOAH3
3HAD121,3OAR120,ECOAH4
3HAD121,3OAR120,ECOAH5
3HAD121,3OAR120,HACD1
3HAD121,3OAR120,HACD2
3HAD121,3OAR120,HACD3
3HAD121,3OAR120,HACD4
3HAD121,3OAR120,HACD5
3HAD121,3OAS120,ACACT1r
3HAD121,3OAS120,ACACT2r
3HAD121,3OAS120,ACACT3r
3HAD121,3OAS120,ACACT4r
3HAD121,3OAS120,ACACT5r
3HAD121,3OAS120,ACOAD1f
3HAD121,3OAS120,ACOAD2f
3HAD121,3OAS120,ACOAD3f
3HAD121,3OAS120,ACOAD4f
3HAD121,3OAS120,ACOAD5f
3HAD121,3OAS120,ECOAH1
3HAD121,3OAS120,ECOAH2
3HAD121,3OAS120,ECOAH3
3HAD121,3OAS120,ECOAH4
3HAD121,3OAS120,ECOAH5
3HAD121,3OAS120,HACD1
3HAD121,3OAS120,HACD2
3HAD121,3OAS120,HACD3
3HAD121,3OAS120,HACD4
3HAD121,3OAS120,HACD5
3HAD121,AACPS2,AACPS4
3HAD121,AACPS2,CTECOAI7_copy1
3HAD121,AACPS2,FACOAE161
3HAD121,AACPS4,CTECOAI6_copy1
3HAD121,AACPS4,FACOAE141
3HAD121,CTECOAI6_copy1,CTECOAI7_copy1
3HAD121,CTECOAI6_copy1,FACOAE161
3HAD121,CTECOAI7_copy1,FACOAE141
3HAD121,FACOAE141,FACOAE161
3HAD140,3HAD141,ACACT6r
3HAD140,3HAD141,ECOAH6
3HAD140,3HAD141,HACD6
3HAD140,3HAD161,ACOAD6f
3HAD140,3OAR100,ACACT6r
3HAD140,3OAR100,ECOAH6
3HAD140,3OAR100,HACD6
3HAD140,3OAR121,ACACT6r
3HAD140,3OAR121,ECOAH6
3HAD140,3OAR121,HACD6
3HAD140,3OAR141,ACACT6r
3HAD140,3OAR141,ECOAH6
3HAD140,3OAR141,HACD6
3HAD140,3OAR161,ACOAD6f
3HAD140,3OAS100,ACACT6r
3HAD140,3OAS100,ECOAH6
3HAD140,3OAS100,HACD6
3HAD140,3OAS121,ACACT6r
3HAD140,3OAS121,ECOAH6
3HAD140,3OAS121,HACD6
3HAD140,3OAS141,ACACT6r
3HAD140,3OAS141,ECOAH6
3HAD140,3OAS141,HACD6
3HAD140,3OAS161,ACOAD6f
3HAD140,AACPS1,AACPS3
3HAD140,AACPS1,FACOAE160
3HAD140,AACPS3,FACOAE140
3HAD140,ACACT6r,T2DECAI
3HAD140,ECOAH6,T2DECAI
3HAD140,FACOAE140,FACOAE160
3HAD140,HACD6,T2DECAI
3HAD141,3OAR120,ACACT1r
3HAD141,3OAR120,ACACT2r
3HAD141,3OAR120,ACACT3r
3HAD141,3OAR120,ACACT4r
3HAD141,3OAR120,ACACT5r
3HAD141,3OAR120,ACOAD1f
3HAD141,3OAR120,ACOAD2f
3HAD141,3OAR120,ACOAD3f
3HAD141,3OAR120,ACOAD4f
3HAD141,3OAR120,ACOAD5f
3HAD141,3OAR120,ECOAH1
3HAD141,3OAR120,ECOAH2
3HAD141,3OAR120,ECOAH3
3HAD141,3OAR120,ECOAH4
3HAD141,3OAR120,ECOAH5
3HAD141,3OAR120,HACD1
3HAD141,3OAR120,HACD2
3HAD141,3OAR120,HACD3
3HAD141,3OAR120,HACD4
3HAD141,3OAR120,HACD5
3HAD141,3OAS120,ACACT1r
3HAD141,3OAS120,ACACT2r
3HAD141,3OAS120,ACACT3r
3HAD141,3OAS120,ACACT4r
3HAD141,3OAS120,ACACT5r
3HAD141,3OAS120,ACOAD1f
3HAD141,3OAS120,ACOAD2f
3HAD141,3OAS120,ACOAD3f
3HAD141,3OAS120,ACOAD4f
3HAD141,3OAS120,ACOAD5f
3HAD141,3OAS120,ECOAH1
3HAD141,3OAS120,ECOAH2
3HAD141,3OAS120,ECOAH3
3HAD141,3OAS120,ECOAH4
3HAD141,3OAS120,ECOAH5
3HAD141,3OAS120,HACD1
3HAD141,3OAS120,HACD2
3HAD141,3OAS120,HACD3
3HAD141,3OAS120,HACD4
3HAD141,3OAS120,HACD5
3HAD141,AACPS2,AACPS4
3HAD141,AACPS2,CTECOAI7_copy1
3HAD141,AACPS2,FACOAE161
3HAD141,AACPS4,CTECOAI6_copy1
3HAD141,AACPS4,FACOAE141
3HAD141,CTECOAI6_copy1,CTECOAI7_copy1
3HAD141,CTECOAI6_copy1,FACOAE161
3HAD141,CTECOAI7_copy1,FACOAE141
3HAD141,FACOAE141,FACOAE161
3HAD160,3HAD161,ACACT7r
3HAD160,3HAD161,ECOAH7
3HAD160,3HAD161,HACD7
3HAD160,3HAD181,ACOAD7f
3HAD160,3OAR161,ACACT7r
3HAD160,3OAR161,ECOAH7
3HAD160,3OAR161,HACD7
3HAD160,3OAR181,ACOAD7f
3HAD160,3OAS161,ACACT7r
3HAD160,3OAS161,ECOAH7
3HAD160,3OAS161,HACD7
3HAD160,3OAS181,ACOAD7f
3HAD160,ACACT8r,ACOAD7f
3HAD160,ACOAD7f,ECOAH8
3HAD160,ACOAD7f,FACOAL181t2pp
3HAD161,3OAR160,ACACT7r
3HAD161,3OAR160,ECOAH7
3HAD161,3OAR160,HACD7
3HAD161,3OAS160,ACACT7r
3HAD161,3OAS160,ECOAH7
3HAD161,3OAS160,HACD7
3HAD161,ACACT7r,ACOAD7f
3HAD161,ACOAD7f,ECOAH7
3HAD161,ACOAD7f,HACD7
3HAD181,3OAR160,ACOAD7f
3HAD181,3OAS160,ACOAD7f
3HAD40,AACPS9,ACACT4r
3HAD40,AACPS9,ACOAD4f
3HAD40,AACPS9,ECOAH4
3HAD40,AACPS9,HACD4
3HAD40,ACACT4r,FACOAE80
3HAD40,ACOAD4f,FACOAE80
3HAD40,ECOAH4,FACOAE80
3HAD40,FACOAE80,HACD4
3HAD60,AACPS9,ACACT4r
3HAD60,AACPS9,ACOAD4f
3HAD60,AACPS9,ECOAH4
3HAD60,AACPS9,HACD4
3HAD60,ACACT4r,FACOAE80
3HAD60,ACOAD4f,FACOAE80
3HAD60,ECOAH4,FACOAE80
3HAD60,FACOAE80,HACD4
3HAD80,AACPS9,ACACT4r
3HAD80,AACPS9,ACOAD4f
3HAD80,AACPS9,ECOAH4
3HAD80,AACPS9,HACD4
3HAD80,ACACT4r,FACOAE80
3HAD80,ACOAD4f,FACOAE80
3HAD80,ECOAH4,FACOAE80
3HAD80,FACOAE80,HACD4
3OAR100,3OAR120,ACACT5r
3OAR100,3OAR120,ACOAD5f
3OAR100,3OAR120,ECOAH5
3OAR100,3OAR120,HACD5
3OAR100,3OAS120,ACACT5r
3OAR100,3OAS120,ACOAD5f
3OAR100,3OAS120,ECOAH5
3OAR100,3OAS120,HACD5
3OAR100,AACPS2,AACPS4
3OAR100,AACPS2,CTECOAI7_copy1
3OAR100,AACPS2,FACOAE161
3OAR100,AACPS4,CTECOAI6_copy1
3OAR100,AACPS4,FACOAE141
3OAR100,AACPS7,AACPS8
3OAR100,AACPS7,FACOAE100
3OAR100,AACPS8,ACACT5r
3OAR100,AACPS8,ACOAD5f
3OAR100,AACPS8,ECOAH5
3OAR100,AACPS8,FACOAE120
3OAR100,AACPS8,HACD5
3OAR100,ACACT5r,FACOAE100
3OAR100,ACOAD5f,FACOAE100
3OAR100,CTECOAI6_copy1,CTECOAI7_copy1
3OAR100,CTECOAI6_copy1,FACOAE161
3OAR100,CTECOAI7_copy1,FACOAE141
3OAR100,ECOAH5,FACOAE100
3OAR100,FACOAE100,FACOAE120
3OAR100,FACOAE100,HACD5
3OAR100,FACOAE141,FACOAE161
3OAR120,3OAR121,ACACT1r
3OAR120,3OAR121,ACACT2r
3OAR120,3OAR121,ACACT3r
3OAR120,3OAR121,ACACT4r
3OAR120,3OAR121,ACACT5r
3OAR120,3OAR121,ACOAD1f
3OAR120,3OAR121,ACOAD2f
3OAR120,3OAR121,ACOAD3f
3OAR120,3OAR121,ACOAD4f
3OAR120,3OAR121,ACOAD5f
3OAR120,3OAR121,ECOAH1
3OAR120,3OAR121,ECOAH2
3OAR120,3OAR121,ECOAH3
3OAR120,3OAR121,ECOAH4
3OAR120,3OAR121,ECOAH5
3OAR120,3OAR121,HACD1
3OAR120,3OAR121,HACD2
3OAR120,3OAR121,HACD3
3OAR120,3OAR121,HACD4
3OAR120,3OAR121,HACD5
3OAR120,3OAR141,ACACT1r
3OAR120,3OAR141,ACACT2r
3OAR120,3OAR141,ACACT3r
3OAR120,3OAR141,ACACT4r
3OAR120,3OAR141,ACACT5r
3OAR120,3OAR141,ACOAD1f
3OAR120,3OAR141,ACOAD2f
3OAR120,3OAR141,ACOAD3f
3OAR120,3OAR141,ACOAD4f
3OAR120,3OAR141,ACOAD5f
3OAR120,3OAR141,ECOAH1
3OAR120,3OAR141,ECOAH2
3OAR120,3OAR141,ECOAH3
3OAR120,3OAR141,ECOAH4
3OAR120,3OAR141,ECOAH5
3OAR120,3OAR141,HACD1
3OAR120,3OAR141,HACD2
3OAR120,3OAR141,HACD3
3OAR120,3OAR141,HACD4
3OAR120,3OAR141,HACD5
3OAR120,3OAS100,ACACT5r
3OAR120,3OAS100,ACOAD5f
3OAR120,3OAS100,ECOAH5
3OAR120,3OAS100,HACD5
3OAR120,3OAS121,ACACT1r
3OAR120,3OAS121,ACACT2r
3OAR120,3OAS121,ACACT3r
3OAR120,3OAS121,ACACT4r
3OAR120,3OAS121,ACACT5r
3OAR120,3OAS121,ACOAD1f
3OAR120,3OAS121,ACOAD2f
3OAR120,3OAS121,ACOAD3f
3OAR120,3OAS121,ACOAD4f
3OAR120,3OAS121,ACOAD5f
